t,s,ey,lo,up,v,v_ref,ax,delta,throttle,brake,steer
0,0.0,-4.577205242027593e-05,11.631105422973633,18.2310791015625,0.0,6.0,nan,-0.5528758805154975,1.0,0.0,-1.0
1,0.0,-4.577205242027593e-05,11.729330062866211,18.329303741455078,0.0,6.0,nan,0.6334346915496398,1.0,0.0,1.0
2,0.0,-4.577205242027593e-05,11.729330062866211,18.329303741455078,0.0,6.0,nan,0.6334346915496398,1.0,0.0,1.0
3,0.0,-4.577205242027593e-05,11.729330062866211,18.329303741455078,0.0,6.0,nan,0.6334346915496398,1.0,0.0,1.0
4,0.0,-4.577205242027593e-05,11.729330062866211,18.329303741455078,0.0,6.0,nan,0.6334346915496398,1.0,0.0,1.0
5,0.0,-4.577205242027593e-05,11.729330062866211,18.329303741455078,0.0,6.0,nan,0.6334346915496398,1.0,0.0,1.0
6,0.0,-4.577205242027593e-05,11.729330062866211,18.329303741455078,0.0,6.0,nan,0.6334346915496398,1.0,0.0,1.0
7,0.0,-4.577205242027593e-05,11.729330062866211,18.329303741455078,0.0,6.0,nan,0.6334346915496398,1.0,0.0,1.0
8,0.0,-4.577205242027593e-05,11.729330062866211,18.329303741455078,0.0,6.0,nan,0.6334346915496398,1.0,0.0,1.0
9,0.0,-4.5782646214742595e-05,11.729330062866211,18.329303741455078,2.3847890588844035e-06,6.0,nan,0.633434784922694,1.0,0.0,1.0
10,0.0,0.0005317078730769365,11.729330062866211,18.329303741455078,3.992750029029643e-07,6.0,nan,0.6334346943995021,1.0,0.0,1.0
11,0.0,0.0006445378637350979,11.729328155517578,18.329301834106445,0.003086013469345682,6.0,nan,0.6330572128440753,1.0,0.0,1.0
12,0.0,0.0005237395065504219,11.729328155517578,18.329301834106445,0.0002244678981809714,6.0,nan,0.6333186597978292,1.0,0.0,1.0
13,0.0,0.00038407961249625755,11.729328155517578,18.329301834106445,0.0006959056567073563,6.0,nan,0.6332826954195231,1.0,0.0,1.0
14,0.0,0.0002701370442831502,11.729328155517578,18.329301834106445,0.0007137908214134042,6.0,nan,0.633292392868164,1.0,0.0,1.0
15,0.0,0.00018183764534979163,11.729330062866211,18.329303741455078,0.0006010955538249758,6.0,nan,0.6333127959115071,1.0,0.0,1.0
16,0.0,0.00011063016133813774,11.729330062866211,18.329303741455078,0.0004746498093193908,6.0,nan,0.633332426278959,1.0,0.0,1.0
