t,s,ey,lo,up,v,v_ref,ax,delta,throttle,brake,steer
0,0.09216146210761125,-0.0009708162433498858,8.05000000000004,8.05000000000004,0.0,0.0,nan,0.0,0.0,1.0,0.0
1,0.09216146210761125,-0.0009708162433498858,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018384575745257533,0.9999999999974314,0.0,-0.0030095959952623906
2,0.09216146210761125,-0.0009708162433498858,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018384575745257533,0.9999999999974314,0.0,-0.0030095959952623906
3,0.09216146210761125,-0.0009708162433498858,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018384575745257533,0.9999999999974314,0.0,-0.0030095959952623906
4,0.09216146210761125,-0.0009708162433498858,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018384575745257533,0.9999999999974314,0.0,-0.0030095959952623906
5,0.09216146210761125,-0.0009708162433498858,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018384575745257533,0.9999999999974314,0.0,-0.0030095959952623906
6,0.09216146210761125,-0.0009708162433498858,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018384575745257533,0.9999999999974314,0.0,-0.0030095959952623906
7,0.09216146210761125,-0.0009708162433498858,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018384575745257533,0.9999999999974314,0.0,-0.0030095959952623906
8,0.09216146210761125,-0.0009708162433498858,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018384575745257533,0.9999999999974314,0.0,-0.0030095959952623906
9,0.09757448228536415,-0.0010198486211528488,-5.149999999999993,1.6000000000000227,1.204765561266091e-05,32.0,nan,-0.0018384059588942641,0.9999999999828069,0.0,-0.00300951149932407
10,0.1434973772840846,-0.0020732502449003895,-5.149999999999993,1.6000000000000227,0.3906397195573635,32.0,nan,-0.01813706175187913,1.0,0.0,-0.029690774032880726
11,0.2247228098464298,-0.005921467204850839,-5.149999999999993,1.6000000000000227,1.2143403051962487,32.0,nan,-0.07452178365036129,0.9999999999931892,0.0,-0.12199381957007782
12,0.336458629094782,-0.013305230210895146,-5.149999999999993,1.6000000000000227,1.8696997684273895,32.0,nan,-0.08141488107012412,0.9999999999870617,0.0,-0.13327797356793292
13,0.47414494761430803,-0.02114707082972776,-5.149999999999993,1.6000000000000227,2.4650024876119025,32.0,nan,-0.0478602703026276,0.9999999999838657,0.0,-0.07834832841988208
14,0.6341972325450924,-0.027042531258144598,-5.149999999999993,1.6000000000000227,2.9487143717802966,32.0,nan,-0.005267011698681342,0.9999999999994384,0.0,-0.008622215456584897
15,0.8143288595579046,-0.030058032237223177,-5.149999999999993,1.6000000000000227,3.3721190592418555,32.0,nan,0.02351639848376809,0.9999999999998759,0.0,0.03849686807050743
16,1.0125066308650628,-0.03463477688557379,-5.149999999999993,1.6000000000000227,3.7596218586995405,32.0,nan,0.0271537073975781,0.9999999999987328,0.0,0.04445122377183964
17,1.2291027468266582,-0.036381798215779186,-5.149999999999993,1.6000000000000227,4.1288629085331525,32.0,nan,0.13049992815729905,0.9999999999954342,0.0,0.21363128886210545
18,1.462446796959274,-0.030614401165625874,-5.149999999999993,1.6000000000000227,4.4694155895419785,32.0,nan,0.11371020257815496,0.9999999999935255,0.0,0.18614613415159692
19,1.7132936180736014,-0.024766718330541483,-5.149999999999993,1.6000000000000227,4.813138868745184,32.0,nan,0.047284007048703454,0.9999999999966022,0.0,0.07740497263878696
20,1.9801814458761524,-0.02940193188780371,-5.149999999999993,1.6000000000000227,5.162025024433892,32.0,nan,0.0002929256621606968,0.9999999999956497,0.0,0.0004795258329395122
21,2.2543574911901256,-0.03419065612800344,-5.149999999999993,1.6000000000000227,5.442430004814909,32.0,nan,0.09673745106778955,0.9999999999949759,0.0,0.15836136191536174
22,2.5356292885661715,-0.032447518974860576,-5.149999999999993,1.6000000000000227,5.543126808031175,32.0,nan,0.09355403484398074,0.9999999999973515,0.0,0.15315003865656976
23,2.8281803169349775,-0.03361589047380056,-5.149999999999993,1.6000000000000227,5.697893359184087,32.0,nan,0.04546175922182849,0.9999999999687516,0.0,0.07442191236144921
24,3.1399670349396733,-0.03273618713299087,-5.149999999999993,1.6000000000000227,6.0015327210732625,32.0,nan,0.11450205337557211,1.0,0.0,0.18744241154291325
25,3.473953721690091,-0.027275420921723588,-5.149999999999993,1.6000000000000227,6.434687529240276,32.0,nan,0.06346617880565089,0.9999999999671385,0.0,0.10389554821104091
26,3.8251130445534454,-0.03163511242076217,-5.149999999999993,1.6000000000000227,6.803809664255885,32.0,nan,0.005705849066762844,0.9999999999918444,0.0,0.009340602001833441
27,4.194437646825206,-0.03514268291007816,-5.149999999999993,1.6000000000000227,7.177765337468633,32.0,nan,0.08483761536441811,0.9999999999197987,0.0,0.13888106583815388
28,4.580397122222148,-0.03760521907295018,-5.149999999999993,1.6000000000000227,7.5239169596504984,32.0,nan,0.06734712846328965,0.9999999998624018,0.0,0.11024874923633927
29,4.984293292534336,-0.03601906919570744,-5.149999999999993,1.6000000000000227,7.87932586710717,32.0,nan,0.131548480580116,0.9999999998241146,0.0,0.21534779253140912
30,5.404647206332637,-0.03075742309115688,-5.149999999999993,1.6000000000000227,8.21752867385541,32.0,nan,0.07716537096968785,0.9999999997987304,0.0,0.1263214308892697
31,5.843228108426399,-0.025161969386445472,-5.149999999999993,1.6000000000000227,8.56905406072524,32.0,nan,0.09534794994987536,0.9999999999444915,0.0,0.15608671763864193
32,6.299050427992357,-0.021991154921348618,-5.149999999999993,1.6000000000000227,8.916244843062419,32.0,nan,0.013770386474319744,0.9999999998949691,0.0,0.02254242934978729
33,6.773016799484612,-0.0231524765011734,-5.149999999999993,1.6000000000000227,9.272029917462003,32.0,nan,0.060937885033360124,0.9999999999834464,0.0,0.09975667499614174
34,7.263973481523616,-0.027965469150650228,-5.149999999999993,1.6000000000000227,9.619989451339595,32.0,nan,0.02107313598383979,0.999999999677808,0.0,0.03449719294226531
35,7.77315179141039,-0.03561933927946145,-5.149999999999993,1.6000000000000227,9.973317568565456,32.0,nan,0.03408263225881138,0.9999999995920181,0.0,0.05579402808932353
36,8.29913231622678,-0.05105410178137788,-5.149999999999993,1.6000000000000227,10.327583773155512,32.0,nan,0.02059141339053935,0.999999999878533,0.0,0.0337086023282021
37,8.840756495255187,-0.07675194486910512,-5.149999999999993,1.6000000000000227,10.684210275084016,32.0,nan,-0.37957102620717403,1.0,0.0,-0.6213662236320182
38,9.395428977034154,-0.13166372282006142,-5.149999999999993,1.6000000000000227,11.000393590543883,32.0,nan,-0.2177767036476404,1.0,0.0,-0.3565053141508879
39,9.955461632061667,-0.21643279777872754,-5.149999999999993,1.6000000000000227,11.246070609485225,32.0,nan,-0.17728198794166095,1.0,0.0,-0.290214562649895
40,10.52460075244048,-0.3202679493222999,-5.149999999999993,1.6000000000000227,11.533695755644448,32.0,nan,0.0,0.0,0.40002460842150234,0.0
41,11.110567139633181,-0.44343187466510015,-5.149999999999993,1.6000000000000227,11.83932282411656,32.0,nan,-0.45767100335334143,0.9999999973446613,0.0,-0.7492176256475489
42,11.691500864775119,-0.5833517146874967,-5.149999999999993,1.6000000000000227,12.065085147963906,32.0,nan,0.0,0.0,0.40000713010497224,0.0
43,12.270174870659174,-0.7330125658898484,-5.149999999999993,1.6000000000000227,12.252852038141183,32.0,nan,0.0,0.0,0.4000009448848886,0.0
44,12.859472810545642,-0.897880136209544,-5.149999999999993,1.6000000000000227,12.293341412916924,32.0,nan,0.0,0.0,1.0,0.0
45,13.4141504347819,-1.0693864631661614,-5.149999999999993,1.6000000000000227,12.187951912986668,32.0,nan,0.0,0.0,1.0,0.0
46,13.97683411317938,-1.2448590981161924,-5.149999999999993,1.6000000000000227,11.960765200685561,32.0,nan,0.0,0.0,1.0,0.0
47,14.49053594896992,-1.4285652302411287,-1.249999999999984,-1.249999999999984,11.67416697829684,0.0,nan,0.0,0.0,1.0,0.0
48,14.979773820155364,-1.6114040121798996,-1.3999999999999844,-1.3999999999999844,11.347092849334766,0.0,nan,0.0,0.0,1.0,0.0
49,15.486637419546026,-1.7981462616843529,-5.149999999999993,-1.5499999999999847,11.01545161543174,32.0,nan,0.0,0.0,1.0,0.0
