t,s,ey,lo,up,v,v_ref,ax,delta,throttle,brake,steer
0,0.06630547825253455,-0.0006591983042681329,8.05000000000004,8.05000000000004,0.0,0.0,nan,0.0,0.0,1.0,0.0
1,0.06630547825253455,-0.0006591983042681329,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018379101795018605,0.9999999999824422,0.0,-0.0030086998974168046
2,0.06630547825253455,-0.0006591983042681329,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018379101795018605,0.9999999999824422,0.0,-0.0030086998974168046
3,0.06630547825253455,-0.0006591983042681329,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018379101795018605,0.9999999999824422,0.0,-0.0030086998974168046
4,0.06630547825253455,-0.0006591983042681329,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018379101795018605,0.9999999999824422,0.0,-0.0030086998974168046
5,0.06630547825253455,-0.0006591983042681329,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018379101795018605,0.9999999999824422,0.0,-0.0030086998974168046
6,0.06630547825253455,-0.0006591983042681329,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018379101795018605,0.9999999999824422,0.0,-0.0030086998974168046
7,0.06630547825253455,-0.0006591983042681329,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018379101795018605,0.9999999999824422,0.0,-0.0030086998974168046
8,0.06630547825253455,-0.0006591983042681329,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,-0.0018379101795018605,0.9999999999824422,0.0,-0.0030086998974168046
9,0.07171349180506523,-0.0007236225688882228,-5.149999999999993,1.6000000000000227,1.2354951899171786e-05,32.0,nan,-0.0018922557454146161,0.9999999999992939,0.0,-0.0030976647991896884
10,0.11760755120634803,-0.0013361206719573024,-5.149999999999993,1.6000000000000227,0.3906383414883036,32.0,nan,-0.018310868178597332,0.9999999999908085,0.0,-0.029975299024400805
11,0.19972349946404772,-0.004744311320752444,-5.149999999999993,1.6000000000000227,1.231995050250174,32.0,nan,-0.07787370938200734,0.9999999999987631,0.0,-0.1274809966462098
12,0.31283895806936224,-0.012435170161501221,-5.149999999999993,1.6000000000000227,1.9186404280348628,32.0,nan,-0.08898512041501404,0.9999999999856145,0.0,-0.14567062397839214
13,0.45130339010026416,-0.02076218671410264,-5.149999999999993,1.6000000000000227,2.4850062152345496,32.0,nan,-0.05397257662584101,0.9999999999977417,0.0,-0.08835431000306078
14,0.6117658494175419,-0.027111917517079726,-5.149999999999993,1.6000000000000227,2.961826160919984,32.0,nan,-0.008479078093411349,0.9999999999990147,0.0,-0.013880439683265803
15,0.7921317678760769,-0.030331182484352005,-5.149999999999993,1.6000000000000227,3.3791152912455997,32.0,nan,0.023110902674029522,1.0,0.0,0.03783306239884286
16,0.9904953080283923,-0.03390044131301761,-5.149999999999993,1.6000000000000227,3.7630994109397586,32.0,nan,0.027826748460294225,0.9999999999969473,0.0,0.04555300698134346
17,1.2071361140947883,-0.03513581597203093,-5.149999999999993,1.6000000000000227,4.130361503542382,32.0,nan,0.11810136134271265,0.999999999992028,0.0,0.19333455884819795
